Ids,Title,Description,Typology,Price,Capacity,Grape,Secondary grape,Closure,Country,Flavor,Color,Abv,Region,Style,Vintage,Food
1,La Gioiosa Prosecco DOC,"In Treviso, Prosecco’s heartland, the locals have a motto to describe their home – ‘marca gioiosa et amorosa’, it’s a ‘joyful and loving’ place. It inspired the Moretti Polegato family when they needed a name for their wine business. They’ve been making Prosecco for three generations and wanted a name that tied them to the land which had given them so much. ‘Gioiosa’ – ‘joyful’ was the perfect fit. These lively bubbles are wonderfully refreshing with notes of white blossom, pear and peachy stone fruit. The perfect aperitif or party wine – and delicious with canapés. In 2022, this wine won an IWC award.",Prosecco,15.75,75CL,Glera,,Natural Cork,Italy,"Green Apple, Citrus Fruit, Floral",White,11.00%,Veneto,Light & Refreshing,NV,"aperitif, white meat, fish, dessert"
2,La Gioiosa Prosecco Valdobbiadene DOCG,"The Moretti Polegato family have been making Prosecco for three generations. And this is their cream-of-the-crop fizz. Conegliano Valdobbiadene DOCG is Prosecco's version of a Grand Cru. These rolling hills are where you'll find the very best of the region’s sparkling wine. So if you're going to pick just one bottle, make it this. Expect a soft, creamy mousse with elegant notes of apple, stone fruit and blossom. It’s fantastic with salmon.","Prosecco, Valdobbiadene",19.4,75CL,Glera,,Natural Cork,Italy,"Pear, Citrus Fruit, Floral, Green Apple",White,11.00%,Veneto,Crisp & Fruity,NV,"aperitif, fish, dessert, pheasant meat, pumpkin dishes"
3,Beato Bartolomeo Pinot Grigio Superiore DOC,"Pinot Grigio’s heartland is in Veneto, northeast Italy. It’s where you’ll find Breganze DOC, a tiny region in the Alpine foothills which is known for prioritising quality above all else. In fact, it’s so small that the region’s growers have formed a single cooperative – Beato Bartolomeo Breganze. If Pinot Grigio is a must for your wine rack, then this one is a first-rate choice. Fresh and light, with crisp citrus flavours and floral aromas, this is Pinot Grigio at its most refreshing. Fantastic as an aperitif, but also with green salads and light fish dishes.",Pinot,12.1,75CL,Pinot Grigio,,Screwcap,Italy,"Lime, Floral, Lemon",White,12.50%,Veneto,Smooth & Light,2022,"aperitif, white meat, soup, risotto"
4,La Raia 'Il Borgo' Organic Gavi,"This organic wine is grown in a rural Italian paradise. Vines grow between orchards, elderflower and acacia trees, all teeming with wildlife. This beautiful landscape sets the scene for the Rossi Cairo family’s biodynamic winemaking, which brings purity to all of their wines. Their Gavi embodies this. A zingy blend of fruit and freshness with notes of peach, almond and blossom. Enjoy with fresh pesto pasta.",Gavi,18.18,75CL,Cortese,,Screwcap,Italy,"Lime, Citrus Fruit, Floral, Green Apple, Lemon",White,13.00%,Piedmont,Aromatic & Floral,2021,"aperitif, first course, white fish"
5,"La Marca Extra Dry Prosecco, Conegliano Valdobbiadene DOCG","This is Prosecco – but better. Conegliano Valdobbiadene DOCG is like Prosecco’s ‘Grand Cru’, and in these hills it’s impossible to cut corners. The vineyards are incredibly steep, so much so that everything has to be done by hand – often with the help of a harness. It’s truly extreme winemaking. But it’s worth it to make fizz this good. Fresh. Floral. Fruity. It has a soft, creamy mousse, with full flavours of ripe white peach, apple and citrus. It’s not bone dry so it’s a great choice as an aperitif.","Prosecco, Valdobbiadene",18.18,75CL,Glera,,Natural Cork,Italy,"Pear, Citrus Fruit, Floral, Green Apple",White,11.00%,Veneto,Crisp & Fruity,2021,aperitif
6,Triplica Greco di Tufo DOCG,"Grego di Tufo is one of Southern Italy’s most coveted white wine regions. Its rich, volcanic soils, high-altitude vines and distinct temperature variations encourage a mineral, elegant style of wine. This bottle has been crafted by one of Italy's most dynamic and talented winemakers, Alessandro Michelon. So you can expect excellence. It’s perfumed, tropical and refreshing – expect hints of mango, pear and fresh herbs. Delicious with fresh mozzarella.",,15.75,75CL,Greco,,Natural Cork,Italy,"Stone Fruit, Citrus Fruit, Floral",White,13.00%,Campania,Crisp & Zesty,2021,"aperitif, fish"
7,"Beato Bartolomeo ‘Naturae' Vespaiolo , Breganze DOC","Grapes have been grown in Breganze DOC for more than 1,000 years. The tiny appellation lies in the foothills of the Italian Alps, and it’s here that the Beato Bartolomeo cooperative was founded back in 1950. Today, they set the standard for the region's wines. And this crisp white is a case in point. It’s made from Vespaiolo, a grape variety that’s famously used to make sweet wines – and as you’ll see in this, it makes delicious dry styles too. It’s fresh and zesty with notes of lemon and grapefruit, plus a touch of honey. The citrusy flavours make it an ideal match for fish and seafood. If you love Sauvignon Blanc but want to try something a little different, this is the wine for you.",,14.5,75CL,Vespaiola,,Screwcap,Italy,"Grapefruit, Honey, Lemon",White,12.00%,Veneto,Crisp & Zesty,2022,"Codfish, delicate dishes"
8,Piccini ‘Histrio’ Organic Anfora Toscana Bianco,"Piccini are one of Italy’s most dynamic and innovative producers. Now in their fourth generation of family ownership, they have over 140 years of expertise behind them. Their roots lie in Tuscany – and today they’re considered one of the region’s leading wineries. This aromatic white blend combines two traditional Tuscan grape varieties, Vermentino and Malvasia. It spends seven weeks maturing in special clay amphorae, which gives it an elegant texture while still allowing the fruit flavours to take centre stage. Discover notes of white flowers, orange peel and tropical fruits with a touch of spice and gentle minerality. These complex flavours make it an excellent match for fish and seafood dishes.",,15.75,75CL,Vermentino,Malvasia,Natural Cork,Italy,"Floral, Spice, Tropical Fruit",White,12.50%,Tuscany,Ripe & Rounded,2022,"fish, soups"
9,Definition Gavi di Gavi DOCG,"The Definition range brings the world's greatest wine styles to Majestic customers. We tasked our buyers with finding the definition of Gavi di Gavi. They searched the hillside vineyards of Piedmont, a prestigious area where the landscape is dominated by the majestic Alps. This wine comes from the vineyards within the town of Gavi itself, where the Cortese grape ripens slowly thanks to the altitude and cool sea breezes. It’s a fresh, citrusy, food-friendly wine with flavours of ripe apple, lemon peel and a hint of almond with a long concentrated finish. It’s renowned for its ability to pair with food and its crisp flavours work brilliantly with seafood risotto.",Gavi,18.18,75CL,Cortese,,Screwcap,Italy,"Green Apple, Herbaceous, Pear",White,12.50%,Piedmont,Fresh & Elegant ,2022,fish
10,La Toledana Gavi di Gavi DOCG,"Gian Battista Cambiaso planted the very first Cortese vines in Gavi 400 years ago. The dry white wine he produced was the first recorded in the region, and his Castello La Toledana is one of the very few Genoese noble houses still standing today. Bordering the coastal region of Liguria, their Cortese grapes are cooled by sea breezes and develop mouth-watering flavours. Gavi is often called the ‘Chablis of Italy’, and we can see why. Crisp. Fresh. Citrusy. It’s deliciously refreshing and aromatic, with hints of white peach and honey. Unsurprisingly, given where it’s from, Gavi is fantastic with pesto and vegetable dishes.",Gavi,19.4,75CL,Cortese,,Natural Cork,Italy,"Lime, Citrus Fruit, Floral, Green Apple, Lemon",White,13.00%,Piedmont,Aromatic & Floral,2021,"aperitif, first course"
